uniprot_id	lilley
IPI00570752.1	ER
IPI00571172.2	ER
IPI00571288.3	Mitochondrion
IPI00571322.1	ER
IPI00571478.5	Golgi
IPI00572250.1	PM
IPI00573336.3	Golgi
IPI00574217.3	ER
IPI00574841.1	Mitochondrion
IPI00575302.3	Golgi
IPI00576023.2	Mitochondrion
IPI00576164.1	Golgi
IPI00576187.1	Mitochondrion
IPI00576496.1	Mitochondrion
IPI00576757.3	PM
IPI00576960.1	Mitochondrion
IPI00577098.1	Mitochondrion
IPI00577185.2	ER
IPI00577371.1	Lysosome
IPI00577421.1	Mitochondrion
IPI00577659.1	ER
IPI00577774.1	Mitochondrion
IPI00577857.1	Mitochondrion
IPI00578021.1	PM
IPI00578335.2	Mitochondrion
IPI00578724.1	ER
IPI00579396.1	Mitochondrion
IPI00579860.1	PM
IPI00580007.2	Mitochondrion
IPI00580699.3	Mitochondrion
IPI00580874.1	PM
IPI00580985.1	ER
IPI00581078.3	ER
IPI00581387.1	PM
IPI00581512.1	Mitochondrion
IPI00581591.1	PM
IPI00583457.2	ER
IPI00583504.3	ER
IPI00583593.3	PM
IPI00583893.3	Mitochondrion
IPI00584049.1	Mitochondrion
IPI00584970.1	ER
IPI00585332.1	Mitochondrion
IPI00586034.3	ER
IPI00588351.3	Lysosome
IPI00589522.1	PM
IPI00589568.1	Mitochondrion
IPI00589716.1	Mitochondrion
IPI00589784.1	PM
IPI00590301.2	Mitochondrion
IPI00590375.1	ER
IPI00590445.1	Golgi
IPI00590454.1	PM
IPI00590621.2	Mitochondrion
IPI00592028.2	Golgi
IPI00592268.1	ER
IPI00592304.1	Mitochondrion
IPI00593376.1	Mitochondrion
IPI00593518.1	ER
IPI00593622.2	Lysosome
IPI00593934.1	PM
IPI00594088.1	Mitochondrion
IPI00594147.3	Lysosome
IPI00594643.1	Golgi
IPI00595032.1	PM
IPI00595035.1	ER
IPI00595308.4	PM
IPI00595381.1	Mitochondrion
IPI00595826.1	Golgi
IPI00596266.2	Lysosome
IPI00596666.3	PM
IPI00596955.3	Mitochondrion
IPI00597639.2	Mitochondrion
IPI00597655.4	ER
IPI00597769.1	PM
IPI00598136.1	Mitochondrion
IPI00599064.1	Lysosome
IPI00600003.1	Lysosome
IPI00600134.1	ER
IPI00600745.3	Golgi
IPI00601063.1	Mitochondrion
IPI00601156.1	Mitochondrion
IPI00601528.2	Lysosome
IPI00601538.3	Mitochondrion
IPI00602001.1	PM
IPI00602214.3	ER
IPI00602293.1	PM
IPI00602654.2	ER
IPI00603017.2	Mitochondrion
IPI00603240.2	Mitochondrion
IPI00604247.1	Mitochondrion
IPI00651481.1	Mitochondrion
IPI00651607.1	ER
IPI00680563.2	Lysosome
IPI00680586.2	Mitochondrion
IPI00680792.2	ER
IPI00681768.2	Mitochondrion
IPI00682714.2	Mitochondrion
IPI00735126.2	Mitochondrion
IPI00818936.1	PM
IPI00821383.1	ER
IPI00823381.1	PM
