id	lilley
D6VTK4	PM
O13563	Proteasome
P00128	Mitochondrion - IM
P00330	Cytosol
P00410	Mitochondrion - IM
P00427	Mitochondrion
P00447	Mitochondrion
P00830	Mitochondrion
P00890	Mitochondrion - Matrix
P02381	37S Ribosome
P02406	Ribosome
P02992	Mitochondrion
P03962	Cytosol
P04076	Cytosol
P04173	Cytosol
P04397	Cytosol
P04456	Ribosome
P04840	Mitochondrion - OM
P05030	PM
P05150	Cytosol
P05737	Ribosome
P05744	Ribosome
P05750	Ribosome
P06168	Mitochondrion
P06738	Cytosol
P06783	PM
P07213	Mitochondrion - OM
P07246	Mitochondrion - Matrix
P07251	Mitochondrion
P08431	Cytosol
P08525	Mitochondrion - IM
P09436	Cytosol
P0CW40	Cytosol
P10614	ER
P10662	37S Ribosome
P11491	Vacuole
P11710	PM
P14063	54S Ribosome
P14120	Ribosome
P14126	Ribosome
P14127	Ribosome
P14693	Mitochondrion - OM
P14772	Vacuole
P14906	ER
P15367	ER
P16387	Mitochondrion
P16474	ER
P16547	Mitochondrion - OM
P17076	Ribosome
P17255	Vacuole
P17505	Mitochondrion - Matrix
P17709	Cytosol
P17967	ER Lumen
P18239	Mitochondrion
P18544	Mitochondrion - Matrix
P18962	Vacuole
P19414	Mitochondrion - Matrix
P19882	Mitochondrion
P20048	ER
P20084	54S Ribosome
P21242	Proteasome
P21243	Proteasome
P21825	ER
P21954	Mitochondrion
P22023	ER Lumen
P22141	Proteasome
P22203	Vacuole
P22353	54S Ribosome
P23291	PM
P23585	PM
P23638	Proteasome
P23639	Proteasome
P23644	Mitochondrion - OM
P23724	Proteasome
P25043	Proteasome
P25297	PM
P25340	ER
P25358	ER
P25451	Proteasome
P25642	54S Ribosome
P25719	Mitochondrion
P26321	Ribosome
P27809	Golgi
P27810	Golgi
P28241	Mitochondrion
P29547	Nucleus
P30606	PM
P30656	Proteasome
P30657	Proteasome
P31382	ER
P31412	Vacuole
P31539	Nucleus
P32319	Golgi
P32331	Mitochondrion - IM
P32344	Mitochondrion
P32379	Proteasome
P32463	Mitochondrion
P32465	PM
P32474	ER Lumen
P32496	Proteasome
P32563	Vacuole
P32565	Proteasome
P32568	PM
P32610	Vacuole
P32613	Golgi
P32621	Golgi
P32795	Mitochondrion - IM
P32843	Mitochondrion
P32891	Mitochondrion - IM
P32897	Mitochondrion - IM
P32901	PM
P32902	37S Ribosome
P33302	PM
P33335	PM
P33399	Nucleus
P33550	Golgi
P33754	ER
P33759	37S Ribosome
P33775	ER
P35176	ER
P35180	Mitochondrion - OM
P35723	ER
P35724	Vacuole
P35732	Nucleus
P36016	ER Lumen
P36027	PM
P36057	ER
P36062	Vacuole
P36106	Nucleus
P36107	Golgi
P36112	Mitochondrion
P36516	54S Ribosome
P36523	54S Ribosome
P37299	Mitochondrion - IM
P38009	Cytosol
P38064	54S Ribosome
P38068	Golgi
P38069	Golgi
P38084	PM
P38085	PM
P38127	Mitochondrion - IM
P38217	Cytosol
P38297	Mitochondrion - OM
P38323	Mitochondrion
P38325	Mitochondrion - OM
P38555	Golgi
P38624	Proteasome
P38736	Golgi
P38739	ER
P38825	Mitochondrion
P38891	Mitochondrion - Matrix
P38910	Mitochondrion - Matrix
P38929	Vacuole
P38958	Mitochondrion
P38969	Mitochondrion
P38988	Mitochondrion - IM
P39010	Golgi
P39101	Nucleus
P39106	Golgi
P39107	Golgi
P39111	Vacuole
P39677	Mitochondrion
P39726	Mitochondrion
P39742	ER
P39987	Mitochondrion
P40016	Proteasome
P40024	Nucleus
P40030	ER
P40047	Mitochondrion - Matrix
P40074	Vacuole
P40078	Nucleus
P40086	Mitochondrion - IM
P40088	PM
P40107	Golgi
P40302	Proteasome
P40350	ER
P40452	Mitochondrion
P40458	Mitochondrion
P40554	Cytosol
P40897	PM
P40961	Mitochondrion - IM
P41544	Golgi
P41805	Ribosome
P41806	ER
P41807	Vacuole
P42836	Vacuole
P43561	Vacuole
P43613	ER
P43636	ER
P46956	ER
P46971	ER
P46982	Golgi
P47088	ER
P47124	Golgi
P47141	37S Ribosome
P47150	37S Ribosome
P47169	Cytosol
P48569	Mitochondrion
P48570	Nucleus
P49017	Mitochondrion
P49018	ER
P49166	Ribosome
P49334	Mitochondrion - OM
P49626	Ribosome
P50108	Golgi
P50944	Vacuole
P51998	54S Ribosome
P53008	ER
P53093	Golgi
P53192	ER
P53239	Mitochondrion
P53397	Mitochondrion
P53881	54S Ribosome
P53954	ER
P53969	Mitochondrion - OM
P54113	Cytosol
P54783	Mitochondrion
P62651	ER
P80967	Mitochondrion
Q00245	PM
Q01163	37S Ribosome
Q01217	Mitochondrion - Matrix
Q01939	Proteasome
Q02204	54S Ribosome
Q02608	37S Ribosome
Q02772	Mitochondrion
Q02776	Mitochondrion - IM
Q02883	Mitochondrion
Q03327	Mitochondrion - OM
Q03430	37S Ribosome
Q03976	37S Ribosome
Q04062	Proteasome
Q04697	ER
Q04934	Vacuole
Q05787	ER
Q06090	54S Ribosome
Q06103	Proteasome
Q06205	Nucleus
Q06593	PM
Q06686	PM
Q07468	Vacuole
Q07800	PM
Q08023	Mitochondrion
Q08176	Mitochondrion
Q08199	ER Lumen
Q08268	Vacuole
Q08269	PM
Q08723	Proteasome
Q12200	Vacuole
Q12318	Nucleus
Q12324	Vacuole
Q12375	Mitochondrion - IM
Q12452	ER
Q12487	54S Ribosome
Q12746	PM
Q99190	ER
Q99287	ER
Q99380	ER
Q99385	Vacuole
